No,Restaurant,Rating,Number of Comments,Cuisine,Budget,Locality,URL,Image URL
47,,,,,,Taksim,https://www.zomato.com/istanbul/banyan-restaurant-ortak%C3%B6y-merkez-istanbul/info,
48,,,,,,Taksim,https://www.zomato.com/istanbul/eleni-meyhanesi-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
49,,,,,,Taksim,https://www.zomato.com/istanbul/m%C3%BCrver-restaurant-4-karak%C3%B6y-istanbul/info,
50,,,,,,Taksim,https://www.zomato.com/istanbul/zorba-taverna-gayrettepe-merkez-istanbul/info,
51,,,,,,Taksim,https://www.zomato.com/istanbul/niwa-narita-kuru%C3%A7e%C5%9Fme/info,
52,,,,,,Taksim,https://www.zomato.com/istanbul/bonn-karak%C3%B6y-1-karak%C3%B6y-istanbul/info,
53,,,,,,Taksim,https://www.zomato.com/istanbul/seven-hills-restaurant-sultanahmet-istanbul/info,
54,,,,,,Taksim,https://www.zomato.com/istanbul/zanzibar-levaz%C4%B1m-istanbul/info,
55,,,,,,Taksim,https://www.zomato.com/istanbul/w-lounge-w-hotel-i%CC%87stanbul-akaretler-istanbul/info,
56,,,,,,Taksim,https://www.zomato.com/istanbul/le-baron-levaz%C4%B1m-istanbul/info,
57,,,,,,Taksim,https://www.zomato.com/istanbul/k%C3%BC%C3%A7%C3%BCk-by-klein-karak%C3%B6y-istanbul/info,
58,,,,,,Taksim,https://www.zomato.com/istanbul/%C5%9Fen-%C5%9Fakrak-meyhane-gayrettepe-merkez-istanbul/info,
59,,,,,,Taksim,https://www.zomato.com/istanbul/pera-adal%C4%B1-grand-hotel-hali%C3%A7-si%C5%9Fhane-istanbul/info,
60,,,,,,Taksim,https://www.zomato.com/hadikarakoy/info,
61,,,,,,Taksim,https://www.zomato.com/istanbul/sun-terrace-meyhane-ortak%C3%B6y-merkez-istanbul/info,
62,,,,,,Taksim,https://www.zomato.com/istanbul/adana-il-s%C4%B1n%C4%B1r%C4%B1-harbiye-istanbul/info,
63,,,,,,Taksim,https://www.zomato.com/istanbul/sortie-restaurant-kuru%C3%A7e%C5%9Fme-istanbul/info,
64,,,,,,Taksim,https://www.zomato.com/istanbul/eleos-restaurant-taksim-istanbul/info,
65,,,,,,Taksim,https://www.zomato.com/istanbul/sade-meyhane-taksim-istanbul/info,
66,,,,,,Taksim,https://www.zomato.com/istanbul/neolokal-galata-istanbul/info,
67,,,,,,Taksim,https://www.zomato.com/istanbul/tiraje-teras-ni%C5%9Fanta%C5%9F%C4%B1-istanbul/info,
68,,,,,,Taksim,https://www.zomato.com/istanbul/isokyo-istanbul-raffles-istanbul-levaz%C4%B1m-istanbul/info,
69,,,,,,Taksim,https://www.zomato.com/istanbul/cibalikap%C4%B1-bal%C4%B1k%C3%A7%C4%B1s%C4%B1-balat-istanbul/info,
70,,,,,,Taksim,https://www.zomato.com/istanbul/agafya-meyhanesi-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
71,,,,,,Taksim,https://www.zomato.com/istanbul/zarifi-2-taksim-istanbul/info,
72,,,,,,Taksim,https://www.zomato.com/istanbul/nasip-meze-restoran-taksim-istanbul/info,
73,,,,,,Taksim,https://www.zomato.com/istanbul/%C5%9Fehzade-restaurant-taksim-istanbul/info,
74,,,,,,Taksim,https://www.zomato.com/istanbul/cecconis-asmal%C4%B1mescit-istanbul/info,
75,,,,,,Taksim,https://www.zomato.com/istanbul/izaka-cvk-park-bosphorus-hotel-i%CC%87stanbul-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
76,,,,,,Taksim,https://www.zomato.com/istanbul/cuma-cihangir-istanbul/info,
77,,,,,,Taksim,https://www.zomato.com/istanbul/34-restaurant-grand-hyatt-i%CC%87stanbul-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
78,,,,,,Taksim,https://www.zomato.com/istanbul/sur-bal%C4%B1k-restaurant-cihangir-istanbul/info,
79,,,,,,Taksim,https://www.zomato.com/istanbul/chapelle-rixos-pera-i%CC%87stanbul-asmal%C4%B1mescit-istanbul/info,
80,,,,,,Taksim,https://www.zomato.com/istanbul/sil-ba%C5%9Ftan-meyhane-cihangir-istanbul/info,
81,,,,,,Taksim,https://www.zomato.com/istanbul/firuze-beyo%C4%9Flu-si%C5%9Fhane-istanbul/info,
82,,,,,,Taksim,https://www.zomato.com/istanbul/comedus-asmal%C4%B1mescit-istanbul/info,
83,,,,,,Taksim,https://www.zomato.com/istanbul/1931-fischer-restaurant-bar-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
84,,,,,,Taksim,https://www.zomato.com/istanbul/steak-n-more-istanbull-radisson-blu-hotel-asmal%C4%B1mescit-istanbul/info,
85,,,,,,Taksim,https://www.zomato.com/istanbul/golden-hour-rixos-pera-istanbul-asmal%C4%B1mescit-istanbul/info,
86,,,,,,Taksim,https://www.zomato.com/istanbul/fevkalade-meyhane-palazzo-doniletti-hotel-asmal%C4%B1mescit-istanbul/info,
87,,,,,,Taksim,https://www.zomato.com/istanbul/rana-meyhane-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
